Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
;24;318;318;;
;32;319;319;;
;25;320;320;;
;39;321;321;;
;30;322;322;;
;30;323;323;;
;18;324;324;;
;19;325;325;;
;22;326;326;;
;24;327;327;;
;21;328;328;;
;34;329;329;;
;24;330;330;;
;28;331;331;;
;25;332;332;;
;29;333;333;;
;22;334;334;;
;31;335;335;;
;30;336;336;;
;25;337;337;;
;35;338;338;;
;25;339;339;;
;21;340;340;;
;27;341;341;;
;26;342;342;;
;28;343;343;;
;26;344;344;;
;29;345;345;;
;30;346;346;;
;28;347;347;;
;29;348;348;;
;33;349;349;;
;40;350;350;;
;34;351;351;;
;43;352;352;;
;42;353;353;;
;40;354;354;;
;43;355;355;;
;45;356;356;;
;35;357;357;;
;37;358;358;;
;52;359;359;;
;64;360;360;;
;69;361;361;;
;47;362;362;;
;67;363;363;;
;60;364;364;;
;57;365;365;;
;71;366;366;;
;79;367;367;;
;67;368;368;;
;52;369;369;;
;65;370;370;;
;62;371;371;;
;62;372;372;;
;58;373;373;;
;62;374;374;;
;73;375;375;;
;62;376;376;;
;60;377;377;;
;70;378;378;;
;65;379;379;;
;72;380;380;;
;47;381;381;;
;57;382;382;;
;42;383;383;;
;59;384;384;;
;42;385;385;;
;37;386;386;;
;45;387;387;;
;44;388;388;;
;42;389;389;;
;43;390;390;;
;36;391;391;;
;33;392;392;;
;37;393;393;;
;43;394;394;;
;40;395;395;;
;51;396;396;;
;27;397;397;;
;42;398;398;;
;40;399;399;;
;33;400;400;;
;35;401;401;;
;31;402;402;;
;34;403;403;;
;37;404;404;;
;32;405;405;;
;34;406;406;;
;32;407;407;;
;22;408;408;;
;29;409;409;;
;30;410;410;;
;34;411;411;;
;36;412;412;;
;24;413;413;;
;26;414;414;;
;22;415;415;;
;21;416;416;;
;16;417;417;;
;16;418;418;;
;18;419;419;;
;23;420;420;;
;20;421;421;;
;14;422;422;;
;26;423;423;;
;30;424;424;;
;21;425;425;;
;21;426;426;;
;30;427;427;;
;19;428;428;;
;23;429;429;;
;19;430;430;;
;16;431;431;;
;16;432;432;;
;16;433;433;;
;22;434;434;;
;19;435;435;;
;16;436;436;;
;13;437;437;;
;11;438;438;;
;17;439;439;;
;19;440;440;;
;15;441;441;;
;17;442;442;;
;13;443;443;;
;20;444;444;;
;24;445;445;;
;18;446;446;;
;14;447;447;;
;21;448;448;;
;14;449;449;;
;25;450;450;;
;12;451;451;;
;20;452;452;;
;16;453;453;;
;10;454;454;;
;22;455;455;;
;12;456;456;;
;22;457;457;;
;11;458;458;;
;13;459;459;;
;19;460;460;;
;26;461;461;;
;25;462;462;;
;15;463;463;;
;18;464;464;;
;15;465;465;;
;13;466;466;;
;27;467;467;;
;20;468;468;;
;18;469;469;;
;10;470;470;;
;11;471;471;;
;10;472;472;;
;14;473;473;;
;24;474;474;;
;20;475;475;;
;15;476;476;;
;23;477;477;;
;16;478;478;;
;18;479;479;;
;18;480;480;;
;10;481;481;;
;14;482;482;;
;23;483;483;;
;17;484;484;;
;17;485;485;;
;14;486;486;;
;14;487;487;;
;18;488;488;;
;17;489;489;;
;23;490;490;;
;14;491;491;;
;19;492;492;;
;15;493;493;;
;11;494;494;;
;19;495;495;;
;15;496;496;;
;11;497;497;;
;11;498;498;;
;16;499;499;;
;12;500;500;;
;14;501;501;;
;12;502;502;;
;8;503;503;;
;15;504;504;;
;16;505;505;;
;22;506;506;;
;18;507;507;;
;12;508;508;;
;19;509;509;;
;12;510;510;;
;11;511;511;;
;14;512;512;;
;9;513;513;;
;15;514;514;;
;12;515;515;;
;18;516;516;;
;16;517;517;;
;20;518;518;;
;18;519;519;;
;14;520;520;;
;15;521;521;;
;10;522;522;;
;18;523;523;;
;14;524;524;;
;17;525;525;;
;14;526;526;;
;15;527;527;;
;14;528;528;;
;17;529;529;;
;13;530;530;;
;8;531;531;;
;15;532;532;;
;10;533;533;;
;11;534;534;;
;21;535;535;;
;14;536;536;;
;15;537;537;;
;7;538;538;;
;20;539;539;;
;16;540;540;;
;15;541;541;;
;14;542;542;;
;17;543;543;;
;19;544;544;;
;24;545;545;;
;11;546;546;;
;18;547;547;;
;16;548;548;;
;16;549;549;;
;17;550;550;;
;13;551;551;;
;15;552;552;;
;14;553;553;;
;7;554;554;;
;7;555;555;;
;19;556;556;;
;15;557;557;;
;7;558;558;;
;17;559;559;;
;7;560;560;;
;15;561;561;;
;14;562;562;;
;10;563;563;;
;11;564;564;;
;12;565;565;;
;9;566;566;;
;11;567;567;;
;17;568;568;;
;18;569;569;;
;14;570;570;;
;13;571;571;;
;13;572;572;;
;10;573;573;;
;15;574;574;;
;18;575;575;;
;8;576;576;;
;12;577;577;;
;11;578;578;;
;15;579;579;;
;12;580;580;;
;15;581;581;;
;12;582;582;;
;8;583;583;;
;16;584;584;;
;9;585;585;;
;12;586;586;;
;15;587;587;;
;9;588;588;;
;5;589;589;;
;10;590;590;;
;9;591;591;;
;14;592;592;;
;7;593;593;;
;14;594;594;;
;12;595;595;;
;8;596;596;;
;12;597;597;;
;8;598;598;;
;14;599;599;;
;7;600;600;;
;7;601;601;;
;8;602;602;;
;9;603;603;;
;8;604;604;;
;4;605;605;;
;13;606;606;;
;10;607;607;;
;10;608;608;;
;8;609;609;;
;11;610;610;;
;11;611;611;;
;9;612;612;;
;9;613;613;;
;13;614;614;;
;10;615;615;;
;12;616;616;;
;12;617;617;;
;12;618;618;;
;7;619;619;;
;11;620;620;;
;13;621;621;;
;12;622;622;;
;11;623;623;;
;10;624;624;;
;12;625;625;;
;5;626;626;;
;7;627;627;;
;20;628;628;;
;12;629;629;;
;9;630;630;;
;12;631;631;;
;13;632;632;;
;7;633;633;;
;10;634;634;;
;5;635;635;;
;13;636;636;;
;9;637;637;;
;10;638;638;;
;9;639;639;;
;6;640;640;;
;15;641;641;;
;10;642;642;;
;6;643;643;;
;7;644;644;;
;18;645;645;;
;14;646;646;;
;10;647;647;;
;11;648;648;;
;5;649;649;;
;5;650;650;;
;6;651;651;;
;14;652;652;;
;8;653;653;;
;14;654;654;;
;9;655;655;;
;5;656;656;;
;15;657;657;;
;6;658;658;;
;10;659;659;;
;12;660;660;;
;17;661;661;;
;15;662;662;;
;15;663;663;;
;17;664;664;;
;13;665;665;;
;17;666;666;;
;9;667;667;;
;10;668;668;;
;14;669;669;;
;11;670;670;;
;18;671;671;;
;10;672;672;;
;14;673;673;;
;10;674;674;;
;17;675;675;;
;11;676;676;;
;19;677;677;;
;15;678;678;;
;9;679;679;;
;20;680;680;;
;22;681;681;;
;11;682;682;;
;10;683;683;;
;23;684;684;;
;10;685;685;;
;7;686;686;;
;8;687;687;;
;9;688;688;;
;14;689;689;;
;11;690;690;;
;13;691;691;;
;9;692;692;;
;7;693;693;;
;13;694;694;;
;8;695;695;;
;8;696;696;;
;6;697;697;;
;9;698;698;;
;19;699;699;;
;15;700;700;;
;13;701;701;;
;1;702;702;;
;21;703;703;;
;10;704;704;;
;13;705;705;;
;15;706;706;;
;7;707;707;;
;9;708;708;;
;9;709;709;;
;4;710;710;;
;9;711;711;;
;8;712;712;;
;10;713;713;;
;9;714;714;;
;10;715;715;;
;16;716;716;;
;8;717;717;;
;8;718;718;;
;5;719;719;;
;7;720;720;;
;5;721;721;;
