Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
295,998;192;296;296;674,023793039894;-3,4921875
296,999;208;297;297;652,345743243919;-3,4921875
297,999;193;298;298;649,526754806448;-3,4921875
298,999;187;299;299;601,596061377613;-3,4921875
299,998;206;300;300;636,39704645132;-3,10416666666667
;214;301;301;;
;173;302;302;;
;206;303;303;;
;189;304;304;;
;188;305;305;;
;177;306;306;;
;220;307;307;;
;179;308;308;;
;185;309;309;;
;153;310;310;;
;173;311;311;;
;188;312;312;;
;176;313;313;;
;167;314;314;;
;187;315;315;;
;170;316;316;;
;202;317;317;;
;176;318;318;;
;185;319;319;;
;183;320;320;;
;181;321;321;;
;167;322;322;;
;230;323;323;;
;184;324;324;;
;214;325;325;;
;192;326;326;;
;183;327;327;;
;192;328;328;;
;185;329;329;;
;191;330;330;;
;176;331;331;;
;186;332;332;;
;185;333;333;;
;197;334;334;;
;210;335;335;;
;199;336;336;;
;174;337;337;;
;189;338;338;;
;182;339;339;;
;175;340;340;;
;165;341;341;;
;195;342;342;;
;203;343;343;;
;170;344;344;;
;165;345;345;;
;194;346;346;;
;208;347;347;;
;192;348;348;;
;182;349;349;;
;216;350;350;;
;193;351;351;;
;185;352;352;;
;209;353;353;;
;188;354;354;;
;183;355;355;;
;172;356;356;;
;190;357;357;;
;170;358;358;;
;189;359;359;;
;181;360;360;;
;186;361;361;;
;199;362;362;;
;172;363;363;;
;183;364;364;;
;181;365;365;;
;167;366;366;;
;159;367;367;;
;185;368;368;;
;155;369;369;;
;176;370;370;;
;192;371;371;;
;185;372;372;;
;213;373;373;;
;168;374;374;;
;198;375;375;;
;208;376;376;;
;184;377;377;;
;177;378;378;;
;184;379;379;;
;184;380;380;;
;202;381;381;;
;208;382;382;;
;189;383;383;;
;180;384;384;;
;195;385;385;;
;205;386;386;;
;221;387;387;;
;210;388;388;;
;205;389;389;;
;194;390;390;;
;230;391;391;;
;205;392;392;;
;199;393;393;;
;193;394;394;;
;236;395;395;;
;236;396;396;;
;219;397;397;;
;220;398;398;;
;232;399;399;;
;208;400;400;;
;252;401;401;;
;217;402;402;;
;232;403;403;;
;236;404;404;;
;238;405;405;;
;204;406;406;;
;262;407;407;;
;211;408;408;;
;197;409;409;;
;186;410;410;;
;189;411;411;;
;195;412;412;;
;195;413;413;;
;203;414;414;;
;192;415;415;;
;201;416;416;;
;215;417;417;;
;219;418;418;;
;214;419;419;;
;181;420;420;;
;192;421;421;;
;185;422;422;;
;177;423;423;;
;188;424;424;;
;177;425;425;;
;208;426;426;;
;196;427;427;;
;217;428;428;;
;201;429;429;;
;191;430;430;;
;193;431;431;;
;200;432;432;;
;200;433;433;;
;185;434;434;;
;213;435;435;;
;177;436;436;;
;211;437;437;;
;181;438;438;;
;166;439;439;;
;207;440;440;;
;194;441;441;;
;175;442;442;;
;174;443;443;;
;180;444;444;;
;156;445;445;;
;166;446;446;;
;198;447;447;;
;189;448;448;;
;200;449;449;;
;186;450;450;;
;195;451;451;;
;191;452;452;;
;191;453;453;;
;200;454;454;;
;205;455;455;;
;201;456;456;;
;202;457;457;;
;186;458;458;;
;179;459;459;;
;208;460;460;;
;188;461;461;;
;208;462;462;;
;220;463;463;;
;190;464;464;;
;200;465;465;;
;205;466;466;;
;183;467;467;;
;205;468;468;;
;200;469;469;;
;203;470;470;;
;212;471;471;;
;228;472;472;;
;200;473;473;;
;194;474;474;;
;182;475;475;;
;174;476;476;;
;197;477;477;;
;206;478;478;;
;212;479;479;;
;199;480;480;;
;221;481;481;;
;187;482;482;;
;183;483;483;;
;235;484;484;;
;197;485;485;;
;220;486;486;;
;224;487;487;;
;179;488;488;;
;215;489;489;;
;168;490;490;;
;204;491;491;;
;203;492;492;;
;196;493;493;;
;203;494;494;;
;206;495;495;;
;232;496;496;;
;233;497;497;;
;212;498;498;;
;209;499;499;;
;217;500;500;;
;204;501;501;;
;209;502;502;;
;203;503;503;;
;197;504;504;;
;205;505;505;;
;220;506;506;;
;221;507;507;;
;239;508;508;;
;232;509;509;;
;219;510;510;;
;210;511;511;;
;217;512;512;;
;188;513;513;;
;203;514;514;;
;201;515;515;;
;218;516;516;;
;224;517;517;;
;215;518;518;;
;207;519;519;;
;210;520;520;;
;224;521;521;;
;238;522;522;;
;249;523;523;;
;220;524;524;;
;216;525;525;;
;257;526;526;;
;256;527;527;;
;181;528;528;;
;229;529;529;;
;215;530;530;;
;247;531;531;;
;259;532;532;;
;236;533;533;;
;227;534;534;;
;265;535;535;;
;232;536;536;;
;236;537;537;;
;242;538;538;;
;228;539;539;;
;210;540;540;;
;257;541;541;;
;224;542;542;;
;253;543;543;;
;226;544;544;;
;238;545;545;;
;260;546;546;;
;206;547;547;;
;216;548;548;;
;230;549;549;;
;214;550;550;;
;213;551;551;;
;243;552;552;;
;225;553;553;;
;213;554;554;;
;229;555;555;;
;240;556;556;;
;230;557;557;;
;204;558;558;;
;203;559;559;;
;233;560;560;;
;187;561;561;;
;209;562;562;;
;224;563;563;;
;210;564;564;;
;196;565;565;;
;181;566;566;;
;221;567;567;;
;196;568;568;;
;170;569;569;;
;184;570;570;;
;192;571;571;;
;178;572;572;;
;173;573;573;;
;161;574;574;;
;175;575;575;;
;163;576;576;;
;192;577;577;;
;179;578;578;;
;161;579;579;;
;176;580;580;;
;159;581;581;;
;170;582;582;;
;160;583;583;;
;165;584;584;;
;177;585;585;;
;142;586;586;;
;176;587;587;;
;141;588;588;;
;129;589;589;;
;158;590;590;;
;147;591;591;;
;164;592;592;;
;133;593;593;;
;136;594;594;;
;146;595;595;;
;146;596;596;;
;127;597;597;;
;161;598;598;;
;128;599;599;;
;147;600;600;;
;149;601;601;;
;126;602;602;;
;134;603;603;;
;151;604;604;;
;124;605;605;;
;141;606;606;;
;144;607;607;;
;136;608;608;;
;117;609;609;;
;128;610;610;;
;145;611;611;;
;142;612;612;;
;152;613;613;;
;147;614;614;;
;123;615;615;;
;128;616;616;;
;127;617;617;;
;129;618;618;;
;113;619;619;;
;124;620;620;;
;125;621;621;;
;139;622;622;;
;139;623;623;;
;125;624;624;;
;143;625;625;;
;125;626;626;;
;134;627;627;;
;128;628;628;;
;104;629;629;;
;101;630;630;;
;139;631;631;;
;137;632;632;;
;125;633;633;;
;135;634;634;;
;113;635;635;;
;131;636;636;;
;129;637;637;;
;111;638;638;;
;147;639;639;;
;124;640;640;;
;107;641;641;;
;120;642;642;;
;114;643;643;;
;109;644;644;;
;126;645;645;;
;129;646;646;;
;95;647;647;;
;121;648;648;;
;110;649;649;;
;113;650;650;;
;120;651;651;;
;101;652;652;;
;122;653;653;;
;89;654;654;;
;98;655;655;;
;123;656;656;;
;116;657;657;;
;112;658;658;;
;118;659;659;;
;117;660;660;;
;140;661;661;;
;127;662;662;;
;121;663;663;;
;112;664;664;;
;135;665;665;;
;125;666;666;;
;138;667;667;;
;137;668;668;;
;152;669;669;;
;154;670;670;;
;165;671;671;;
;147;672;672;;
;166;673;673;;
;185;674;674;;
;168;675;675;;
;202;676;676;;
;204;677;677;;
;197;678;678;;
;195;679;679;;
;213;680;680;;
;224;681;681;;
;241;682;682;;
;237;683;683;;
;242;684;684;;
;236;685;685;;
;250;686;686;;
;260;687;687;;
;208;688;688;;
