Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
;3;544;544;;
;3;545;545;;
;9;546;546;;
;9;547;547;;
;5;548;548;;
;12;549;549;;
;5;550;550;;
;6;551;551;;
;6;552;552;;
;6;553;553;;
;6;554;554;;
;9;555;555;;
;6;556;556;;
;10;557;557;;
;12;558;558;;
;6;559;559;;
;9;560;560;;
;5;561;561;;
;11;562;562;;
;8;563;563;;
;12;564;564;;
;8;565;565;;
;6;566;566;;
;3;567;567;;
;12;568;568;;
;4;569;569;;
;7;570;570;;
;5;571;571;;
;10;572;572;;
;5;573;573;;
;8;574;574;;
;5;575;575;;
;5;576;576;;
;6;577;577;;
;3;578;578;;
;3;579;579;;
;9;580;580;;
;3;581;581;;
;5;582;582;;
;8;583;583;;
;7;584;584;;
;8;585;585;;
;5;586;586;;
;4;587;587;;
;6;588;588;;
;9;589;589;;
;4;590;590;;
;3;591;591;;
;5;592;592;;
;6;593;593;;
;3;594;594;;
;9;595;595;;
;8;596;596;;
;1;597;597;;
;9;598;598;;
;4;599;599;;
;4;600;600;;
;6;601;601;;
;7;602;602;;
;1;603;603;;
;5;604;604;;
;3;605;605;;
;6;606;606;;
;6;607;607;;
;7;608;608;;
;3;609;609;;
;7;610;610;;
;8;611;611;;
;4;612;612;;
;2;613;613;;
;7;614;614;;
;3;615;615;;
;6;616;616;;
;2;617;617;;
;4;618;618;;
;1;619;619;;
;7;620;620;;
;7;621;621;;
;10;622;622;;
;3;623;623;;
;8;624;624;;
;3;625;625;;
;2;626;626;;
;3;627;627;;
;4;628;628;;
;3;629;629;;
;2;630;630;;
;4;631;631;;
;10;632;632;;
;2;633;633;;
;2;634;634;;
;5;635;635;;
;3;636;636;;
;2;637;637;;
;4;638;638;;
;3;639;639;;
;4;640;640;;
;7;641;641;;
;4;642;642;;
;6;643;643;;
;4;644;644;;
;4;645;645;;
;0;646;646;;
;1;647;647;;
;8;648;648;;
;4;649;649;;
;2;650;650;;
;2;651;651;;
;5;652;652;;
;2;653;653;;
;2;654;654;;
;8;655;655;;
;8;656;656;;
;4;657;657;;
;5;658;658;;
;6;659;659;;
;5;660;660;;
;3;661;661;;
;1;662;662;;
;7;663;663;;
;3;664;664;;
;3;665;665;;
;5;666;666;;
;7;667;667;;
;5;668;668;;
;5;669;669;;
;4;670;670;;
;2;671;671;;
;3;672;672;;
;5;673;673;;
